id_terraza,id_local,id_distrito_local,desc_distrito_local,id_barrio_local,desc_barrio_local,id_ndp_edificio,id_clase_ndp_edificio,id_vial_edificio,clase_vial_edificio,desc_vial_edificio,nom_edificio,num_edificio,Cod_Postal,coordenada_x_local,coordenada_y_local,id_tipo_acceso_local,desc_tipo_acceso_local,id_situacion_local,desc_situacion_local,secuencial_local_PC,Escalera,id_planta_agrupado,id_local_agrupado,coordenada_x_agrupacion,coordenada_y_agrupacion,rotulo,id_periodo_terraza,desc_periodo_terraza,id_situacion_terraza,desc_situacion_terraza,Superficie_ES,Superficie_RA,Fecha_confir_ult_decreto_resol,id_ndp_terraza,id_clase_ndp_terraza,ID_VIAL,DESC_CLASE,DESC_NOMBRE,nom_terraza,num_terraza,cal_terraza,desc_ubicacion_terraza,hora_ini_LJ_es,hora_fin_LJ_es,hora_ini_LJ_ra,hora_fin_LJ_ra,hora_ini_VS_es,hora_fin_VS_es,hora_ini_VS_ra,hora_fin_VS_ra,mesas_aux_es,mesas_aux_ra,mesas_es,mesas_ra,sillas_es,sillas_ra
7,280067128,20,SAN BLAS-CANILLEJAS ,2005,ROSAS               ,20157611,1,2443,CALLE                   ,SOFIA                                             ,NUM,177,28022,44890055,447475541,1,Puerta Calle,1,Abierto,10,,PB,02,,,OUTLET MOTO MADRID,2,Estacional,1,Abierta,72,,24/03/2014,20157611,1,2443,CALLE                   ,SOFIA                                             ,NUM,177, A,Acera,08:00:00 a. m.,01:30:00 a. m.,,,08:00:00 a. m.,01:30:00 a. m.,,,0,,5,,10, A
33,270403150,4,SALAMANCA           ,404,GUINDALERA          ,11018870,1,42500,AVENIDA                 ,AMERICA                                           ,NUM,2,28028,44258658,447652451,1,Puerta Calle,1,Abierto,30,,PB,01,,,HONTANARES,1,Anual,1,Abierta,2106,2106,04/04/2014,11018870,1,42500,AVENIDA                 ,AMERICA                                           ,NUM,2,  ,Acera,10:00:00 a. m.,01:00:00 a. m.,10:00:00 a. m.,12:00:00 a. m.,10:00:00 a. m.,02:30:00 a. m.,10:00:00 a. m.,12:00:00 a. m.,0,0,9,9,27,  
34,270078567,4,SALAMANCA           ,404,GUINDALERA          ,11018555,1,35200,CALLE                   ,ALONSO HEREDIA                                    ,NUM,25,28028,44298658,44763795,1,Puerta Calle,1,Abierto,10,,PB,04,,,BAR MARISQUERIA LUIS,1,Anual,1,Abierta,1116,1116,04/04/2014,11018555,1,35200,CALLE                   ,ALONSO HEREDIA                                    ,NUM,25,  ,Calle peatonal,10:00:00 a. m.,01:00:00 a. m.,10:00:00 a. m.,12:00:00 a. m.,10:00:00 a. m.,02:30:00 a. m.,10:00:00 a. m.,12:00:00 a. m.,0,0,4,0,14,  
36,40002021,4,SALAMANCA           ,404,GUINDALERA          ,11018545,1,10100,CALLE                   ,AGUSTIN DURAN                                     ,NUM,10,28028,44297258,44763505,1,Puerta Calle,1,Abierto,20,,PB,,,,SAGAR,2,Estacional,1,Abierta,72,,07/04/2014,11018548,1,35200,CALLE                   ,ALONSO HEREDIA                                    ,NUM,22,  ,Calle peatonal,10:00:00 a. m.,12:00:00 a. m.,,,10:00:00 a. m.,12:00:00 a. m.,,,0,,5,,10,  
40,40002808,4,SALAMANCA           ,401,RECOLETOS           ,11014033,1,85200,CALLE                   ,AYALA                                             ,NUM,14,28001,44165659,447547052,1,Puerta Calle,1,Abierto,10,,PB,,,,WAGABOO,1,Anual,1,Abierta,2548,2548,07/04/2014,11014033,1,85200,CALLE                   ,AYALA                                             ,NUM,14,  ,Acera,10:00:00 a. m.,01:00:00 a. m.,10:00:00 a. m.,12:00:00 a. m.,10:00:00 a. m.,02:30:00 a. m.,10:00:00 a. m.,12:00:00 a. m.,1,1,8,8,24,  
41,270495851,4,SALAMANCA           ,401,RECOLETOS           ,11013652,1,88909488,CALLE                   ,ALCALA                                            ,NUM,59,28014,44135059,447458552,1,Puerta Calle,1,Abierto,10,,PB,01,,,THE JAMES JOYCE IRISH PUB,1,Anual,1,Abierta,2104,2104,07/04/2014,11013652,1,88909488,CALLE                   ,ALCALA                                            ,NUM,59,  ,Acera,10:00:00 a. m.,01:00:00 a. m.,10:00:00 a. m.,12:00:00 a. m.,10:00:00 a. m.,02:30:00 a. m.,10:00:00 a. m.,12:00:00 a. m.,0,0,6,6,24,  
44,40001459,4,SALAMANCA           ,404,GUINDALERA          ,11018130,1,42500,AVENIDA                 ,AMERICA                                           ,NUM,32,28028,44292658,44766815,1,Puerta Calle,1,Abierto,10,,PB,,,,HOTEL ABBA MADRID,2,Estacional,1,Abierta,1944,,07/04/2014,11018130,1,42500,AVENIDA                 ,AMERICA                                           ,NUM,32,  ,Acera,10:00:00 a. m.,01:00:00 a. m.,,,10:00:00 a. m.,02:30:00 a. m.,,,0,,6,,24,  
50,180000457,18,VILLA DE VALLECAS   ,1801,CASCO H.VALLECAS    ,20150818,1,414710,PLAZA                   ,JUAN DE MALASAÑA                                  ,NUM,5,28031,44724053,447014143,1,Puerta Calle,1,Abierto,10,,PB,01,,,LA CHOZITA,1,Anual,1,Abierta,8468,6499,10/04/2014,20150818,1,414710,PLAZA                   ,JUAN DE MALASAÑA                                  ,NUM,5,  ,Plaza peatonal,10:00:00 a. m.,01:00:00 a. m.,10:00:00 a. m.,12:00:00 a. m.,10:00:00 a. m.,02:30:00 a. m.,10:00:00 a. m.,12:00:00 a. m.,0,0,27,21,92,  
51,270076142,4,SALAMANCA           ,404,GUINDALERA          ,11016970,1,88909488,CALLE                   ,ALCALA                                            ,NUM,225,28028,44356558,447568849,1,Puerta Calle,1,Abierto,10,,PB,IZ,,,EL NUEVO RINCÓN DE JAÉN,1,Anual,1,Abierta,2166,2166,14/04/2014,11016970,1,88909488,CALLE                   ,ALCALA                                            ,NUM,225,  ,Acera,10:00:00 a. m.,01:00:00 a. m.,10:00:00 a. m.,12:00:00 a. m.,10:00:00 a. m.,02:30:00 a. m.,10:00:00 a. m.,12:00:00 a. m.,0,0,8,8,25,  
52,270071068,4,SALAMANCA           ,402,GOYA                ,11014645,1,88909488,CALLE                   ,ALCALA                                            ,NUM,127,28009,44234758,447495251,1,Puerta Calle,1,Abierto,20,,PB,DR,,,VIENA CAPELLANES,1,Anual,1,Abierta,1243,1243,14/04/2014,11014645,1,88909488,CALLE                   ,ALCALA                                            ,NUM,127,  ,Acera,10:00:00 a. m.,01:00:00 a. m.,10:00:00 a. m.,12:00:00 a. m.,10:00:00 a. m.,02:30:00 a. m.,10:00:00 a. m.,12:00:00 a. m.,0,0,3,3,9,  
54,280062208,17,VILLAVERDE          ,1702,SAN CRISTOBAL       ,11126231,1,513900,CALLE                   ,MONCADA                                           ,NUM,119,28021,44129452,44658025,1,Puerta Calle,1,Abierto,10,,PB,110,,,BAR LAS TORRES,2,Estacional,1,Abierta,2166,,14/04/2014,11126231,1,513900,CALLE                   ,MONCADA                                           ,NUM,119,  ,Acera,08:00:00 a. m.,01:30:00 a. m.,,,08:00:00 a. m.,01:30:00 a. m.,,,0,,6,,24,  
56,170000773,17,VILLAVERDE          ,1704,LOS ROSALES         ,11126803,1,786850,CALLE                   ,VILLAJOYOSA                                       ,NUM,73,28041,44134154,44674335,1,Puerta Calle,1,Abierto,10,,PB,01,,,KEBAB ARMENIA,2,Estacional,1,Abierta,1296,,14/04/2014,11126803,1,786850,CALLE                   ,VILLAJOYOSA                                       ,NUM,73,  ,Acera,08:00:00 a. m.,01:30:00 a. m.,,,08:00:00 a. m.,01:30:00 a. m.,,,0,,4,,16,  
58,270075832,4,SALAMANCA           ,403,FUENTE DEL BERRO    ,11016822,1,88909488,CALLE                   ,ALCALA                                            ,NUM,172,28028,44348158,447559849,1,Puerta Calle,1,Abierto,10,,PB,02,,,CAFETERIA PARISIENA,2,Estacional,1,Abierta,3365,,14/04/2014,11016822,1,88909488,CALLE                   ,ALCALA                                            ,NUM,172,  ,Acera,08:00:00 a. m.,01:30:00 a. m.,,,08:00:00 a. m.,01:30:00 a. m.,,,0,,8,,24,  
60,180000598,18,VILLA DE VALLECAS   ,1801,CASCO H.VALLECAS    ,11130825,1,581100,CALLE                   ,PEÑA DE VARGAS                                    ,NUM,7,28031,44726653,446950343,1,Puerta Calle,1,Abierto,10,,PB,04,,,EL RINCON DEL TIO PEPE,1,Anual,1,Abierta,3407,3407,14/04/2014,11130825,1,581100,CALLE                   ,PEÑA DE VARGAS                                    ,NUM,7,  ,Acera,10:00:00 a. m.,01:00:00 a. m.,10:00:00 a. m.,12:00:00 a. m.,10:00:00 a. m.,02:30:00 a. m.,10:00:00 a. m.,12:00:00 a. m.,0,0,8,8,32,  
66,200000837,20,SAN BLAS-CANILLEJAS ,2001,SIMANCAS            ,31038473,1,505500,CALLE                   ,MIERES                                            ,NUM,13,28037,44659356,447557945,1,Puerta Calle,1,Abierto,60,,PB,,,,BAR JOSUE,1,Anual,1,Abierta,1023,1023,14/04/2014,31038473,1,505500,CALLE                   ,MIERES                                            ,NUM,13,  ,Acera,10:00:00 a. m.,01:00:00 a. m.,10:00:00 a. m.,12:00:00 a. m.,10:00:00 a. m.,01:00:00 a. m.,10:00:00 a. m.,12:00:00 a. m.,0,0,4,0,16,  
67,280067055,20,SAN BLAS-CANILLEJAS ,2006,REJAS               ,20144821,1,190550,COLONIA                 ,OCCIDENTE                                         ,NUM,6,28022,44955856,447726041,1,Puerta Calle,1,Abierto,10,,PB,01,,,RESTAURANTE BAR TORRES,1,Anual,1,Abierta,3678,3678,14/04/2014,20144821,1,190550,COLONIA                 ,OCCIDENTE                                         ,NUM,6,  ,Acera,08:00:00 a. m.,12:00:00 a. m.,08:00:00 a. m.,12:00:00 a. m.,08:00:00 a. m.,12:00:00 a. m.,08:00:00 a. m.,12:00:00 a. m.,0,0,12,12,47,  
68,270201818,17,VILLAVERDE          ,1701,SAN ANDRES          ,11123254,1,745900,CALLE                   ,TORDEGRILLOS                                      ,NUM,45,28021,43913654,446609852,1,Puerta Calle,1,Abierto,30,,PB,B,,,RESTAURANTE LA FAMILIA,2,Estacional,1,Abierta,1119,,15/04/2014,31001450,1,18100,PASEO                   ,ALBERTO PALACIOS                                  ,NUM,77,  ,Acera,08:00:00 a. m.,01:30:00 a. m.,,,08:00:00 a. m.,01:30:00 a. m.,,,0,,5,,13,  
69,270380946,4,SALAMANCA           ,401,RECOLETOS           ,11013848,1,88909488,CALLE                   ,ALCALA                                            ,NUM,89,28009,44187758,447470352,1,Puerta Calle,1,Abierto,10,,SO,DR,,,EL ARBOL Y LA TOSTA,1,Anual,1,Abierta,504,504,15/04/2014,11013848,1,88909488,CALLE                   ,ALCALA                                            ,NUM,89,  ,Acera,10:00:00 a. m.,01:00:00 a. m.,10:00:00 a. m.,12:00:00 a. m.,10:00:00 a. m.,02:30:00 a. m.,10:00:00 a. m.,12:00:00 a. m.,0,0,3,3,6,  
72,210000683,21,BARAJAS             ,2104,TIMON               ,20125122,1,14300,CALLE                   ,ALAS                                              ,NUM,30,28042,45064058,44804714,1,Puerta Calle,1,Abierto,10,B,PB,03,,,BURGER KING,2,Estacional,1,Abierta,2916,,23/04/2014,20044134,1,439900,AVENIDA                 ,LOGROÑO                                           ,NUM,337,  ,Acera,10:00:00 a. m.,01:00:00 a. m.,,,10:00:00 a. m.,02:30:00 a. m.,,,0,,9,,36,  
73,280060978,18,VILLA DE VALLECAS   ,1803,ENSANCHE DE VALLECAS,31035268,1,31000474,AVENIDA                 ,ENSANCHE DE VALLECAS                              ,NUM,44,28051,44832652,446874241,1,Puerta Calle,1,Abierto,20,,PB,02,,,RESTAURANTE 40 & CUATRO,1,Anual,1,Abierta,972,972,24/04/2014,31033784,1,31000519,CALLE                   ,ENTREPEÑAS                                        ,NUM,49,  ,Acera,10:00:00 a. m.,01:00:00 a. m.,10:00:00 a. m.,12:00:00 a. m.,10:00:00 a. m.,02:30:00 a. m.,10:00:00 a. m.,12:00:00 a. m.,0,0,30,30,120,  
74,270202022,18,VILLA DE VALLECAS   ,1801,CASCO H.VALLECAS    ,11130120,1,716700,CALLE                   ,SIERRA GORDA                                      ,NUM,25,28031,44753253,447023743,1,Puerta Calle,1,Abierto,10,,PB,A,,,BAR-RESTAURANTE,1,Anual,1,Abierta,1046,606,24/04/2014,31054352,1,716700,CALLE                   ,SIERRA GORDA                                      ,NUM,25, B,Calle peatonal,10:00:00 a. m.,01:00:00 a. m.,10:00:00 a. m.,12:00:00 a. m.,10:00:00 a. m.,02:30:00 a. m.,10:00:00 a. m.,12:00:00 a. m.,0,0,30,16,112,  
76,170001120,17,VILLAVERDE          ,1703,BUTARQUE            ,20166865,1,2879,CALLE                   ,BERROCAL                                          ,NUM,11,28021,44261152,446607449,1,Puerta Calle,1,Abierto,70,,PB,8,,,CERVECERIA MINERVA,1,Anual,1,Abierta,288,288,24/04/2014,20166865,1,2879,CALLE                   ,BERROCAL                                          ,NUM,11,  ,Acera,08:00:00 a. m.,01:30:00 a. m.,08:00:00 a. m.,12:00:00 a. m.,08:00:00 a. m.,01:30:00 a. m.,08:00:00 a. m.,12:00:00 a. m.,0,0,8,8,32,  
77,170000836,17,VILLAVERDE          ,1704,LOS ROSALES         ,11126886,1,230650,PLAZA                   ,CHOZAS DE CANALES                                 ,NUM,1,28021,44133753,44670335,1,Puerta Calle,1,Abierto,20,,PB,B,,,BAR DONDE SIEMPRE,1,Anual,1,Abierta,6412,6412,24/04/2014,11126886,1,230650,PLAZA                   ,CHOZAS DE CANALES                                 ,NUM,1,  ,Plaza peatonal,08:00:00 a. m.,01:30:00 a. m.,08:00:00 a. m.,01:00:00 a. m.,08:00:00 a. m.,01:30:00 a. m.,08:00:00 a. m.,01:00:00 a. m.,0,0,21,21,80,  
78,170001098,17,VILLAVERDE          ,1704,LOS ROSALES         ,31002008,1,2697,CALLE                   ,MARIA BARRIENTOS                                  ,NUM,4,28021,44170254,44673875,1,Puerta Calle,1,Abierto,10,,PB,11,,,LA PARADA ESQUINA,2,Estacional,1,Abierta,4796,,24/04/2014,31002008,1,2697,CALLE                   ,MARIA BARRIENTOS                                  ,NUM,4, A,Acera,08:00:00 a. m.,01:30:00 a. m.,,,08:00:00 a. m.,01:30:00 a. m.,,,0,,11,,44, A
79,270228707,17,VILLAVERDE          ,1701,SAN ANDRES          ,11124826,1,18100,PASEO                   ,ALBERTO PALACIOS                                  ,NUM,20,28021,43958154,446642152,1,Puerta Calle,1,Abierto,10,,PB,01,,,BURGUER CAROVI,1,Anual,1,Abierta,2913,2913,24/04/2014,11124826,1,18100,PASEO                   ,ALBERTO PALACIOS                                  ,NUM,20,  ,Acera,08:00:00 a. m.,01:30:00 a. m.,08:00:00 a. m.,01:00:00 a. m.,08:00:00 a. m.,01:30:00 a. m.,08:00:00 a. m.,01:00:00 a. m.,0,0,10,10,40,  
80,170000967,17,VILLAVERDE          ,1705,LOS ANGELES         ,11129020,1,426685,CALLE                   ,LA DEL MANOJO DE ROSAS                            ,NUM,44,28041,44077355,446774951,1,Puerta Calle,1,Abierto,10,,PB,23,,,A GAIVOTIÑA II,1,Anual,1,Abierta,1113,1113,24/04/2014,11129020,1,426685,CALLE                   ,LA DEL MANOJO DE ROSAS                            ,NUM,44,  ,Acera,08:00:00 a. m.,01:30:00 a. m.,08:00:00 a. m.,01:00:00 a. m.,08:00:00 a. m.,01:30:00 a. m.,08:00:00 a. m.,01:00:00 a. m.,0,0,16,10,56,  
81,170000259,17,VILLAVERDE          ,1705,LOS ANGELES         ,11128297,1,733450,PASEO                   ,TALLERES                                          ,NUM,2,28021,44057254,446676251,1,Puerta Calle,1,Abierto,10,,PB,A,,,PEÑA DE FRANCIA,1,Anual,1,Abierta,324,324,24/04/2014,11128297,1,733450,PASEO                   ,TALLERES                                          ,NUM,2,  ,Acera,08:00:00 a. m.,01:30:00 a. m.,08:00:00 a. m.,01:00:00 a. m.,08:00:00 a. m.,01:30:00 a. m.,08:00:00 a. m.,01:00:00 a. m.,0,0,15,15,60,  
82,270456160,17,VILLAVERDE          ,1701,SAN ANDRES          ,11125480,1,733450,PASEO                   ,TALLERES                                          ,NUM,48,28021,44024254,446657051,1,Puerta Calle,1,Abierto,20,,PB,A,,,LUCKY,1,Anual,1,Abierta,1296,756,24/04/2014,11125480,1,733450,PASEO                   ,TALLERES                                          ,NUM,48,  ,Acera,08:00:00 a. m.,01:30:00 a. m.,08:00:00 a. m.,01:00:00 a. m.,08:00:00 a. m.,01:30:00 a. m.,08:00:00 a. m.,01:00:00 a. m.,0,0,8,3,16,  
83,170002005,17,VILLAVERDE          ,1705,LOS ANGELES         ,11128595,1,426685,CALLE                   ,LA DEL MANOJO DE ROSAS                            ,NUM,102,28041,44066554,446731751,1,Puerta Calle,1,Abierto,10,,PB,,,,EL KUBO,1,Anual,1,Abierta,12798,3297,24/04/2014,11128595,1,426685,CALLE                   ,LA DEL MANOJO DE ROSAS                            ,NUM,102,  ,Plaza peatonal,08:00:00 a. m.,01:30:00 a. m.,08:00:00 a. m.,01:00:00 a. m.,08:00:00 a. m.,01:30:00 a. m.,08:00:00 a. m.,01:00:00 a. m.,0,0,16,8,64,  
84,270181857,17,VILLAVERDE          ,1701,SAN ANDRES          ,11125333,1,498200,PLAZA                   ,MAYOR DE VILLAVERDE                               ,NUM,4,28021,43992854,446655351,1,Puerta Calle,1,Abierto,10,,PB,A,,,BAR ASTURIAS,1,Anual,1,Abierta,684,684,24/04/2014,11125333,1,498200,PLAZA                   ,MAYOR DE VILLAVERDE                               ,NUM,4,  ,Plaza peatonal,08:00:00 a. m.,01:30:00 a. m.,08:00:00 a. m.,01:00:00 a. m.,08:00:00 a. m.,01:30:00 a. m.,08:00:00 a. m.,01:00:00 a. m.,0,0,22,22,88,  
85,270379680,17,VILLAVERDE          ,1704,LOS ROSALES         ,20061933,1,88909044,AVENIDA                 ,OROVILLA                                          ,NUM,63,28041,44148454,44676255,1,Puerta Calle,1,Abierto,10,,PB,01,,,LA ABUELA,2,Estacional,1,Abierta,1872,1638,24/04/2014,20061933,1,88909044,AVENIDA                 ,OROVILLA                                          ,NUM,63,  ,Acera,10:00:00 a. m.,12:00:00 a. m.,10:00:00 a. m.,12:00:00 a. m.,10:00:00 a. m.,12:00:00 a. m.,10:00:00 a. m.,12:00:00 a. m.,0,,8,,24,  
86,170000257,17,VILLAVERDE          ,1705,LOS ANGELES         ,11128909,1,561025,CALLE                   ,PAN Y TOROS                                       ,NUM,11,28041,44102055,446796151,1,Puerta Calle,1,Abierto,10,,PB,A,,,BAR PEMA,1,Anual,1,Abierta,37,37,24/04/2014,11128909,1,561025,CALLE                   ,PAN Y TOROS                                       ,NUM,11,  ,Acera,08:00:00 a. m.,01:30:00 a. m.,08:00:00 a. m.,01:00:00 a. m.,08:00:00 a. m.,01:30:00 a. m.,08:00:00 a. m.,01:00:00 a. m.,0,0,11,11,42,  
87,270286727,17,VILLAVERDE          ,1705,LOS ANGELES         ,11128847,1,561025,CALLE                   ,PAN Y TOROS                                       ,NUM,37,28041,44105254,446769251,1,Puerta Calle,1,Abierto,40,,SO,C,,,CASA MONICA,1,Anual,1,Abierta,5004,5004,24/04/2014,11128847,1,561025,CALLE                   ,PAN Y TOROS                                       ,NUM,37,  ,Acera,08:00:00 a. m.,01:30:00 a. m.,08:00:00 a. m.,01:00:00 a. m.,08:00:00 a. m.,01:30:00 a. m.,08:00:00 a. m.,01:00:00 a. m.,0,0,15,15,56,  
88,180000366,18,VILLA DE VALLECAS   ,1802,SANTA EUGENIA       ,11131599,1,156450,CALLE                   ,CASTRILLO DE AZA                                  ,NUM,9,28031,44835753,447062241,1,Puerta Calle,1,Abierto,10,I,SO,02,,,EL JARDIN DEL BACO,1,Anual,1,Abierta,9756,9756,25/04/2014,31011644,1,156450,CALLE                   ,CASTRILLO DE AZA                                  ,NUM,9, B,Acera,10:00:00 a. m.,01:00:00 a. m.,08:00:00 a. m.,12:00:00 a. m.,10:00:00 a. m.,02:30:00 a. m.,08:00:00 a. m.,12:00:00 a. m.,0,0,24,24,96,  
89,270324826,18,VILLA DE VALLECAS   ,1802,SANTA EUGENIA       ,11131603,1,614050,CALLE                   ,PUENTELARRA                                       ,NUM,10,28031,44837353,447048941,1,Puerta Calle,1,Abierto,10,,PB,K,,,CERVECERIA LA TOMASA,1,Anual,1,Abierta,486,486,25/04/2014,11131603,1,614050,CALLE                   ,PUENTELARRA                                       ,NUM,10,  ,Acera,10:00:00 a. m.,01:00:00 a. m.,10:00:00 a. m.,12:00:00 a. m.,10:00:00 a. m.,02:30:00 a. m.,10:00:00 a. m.,12:00:00 a. m.,0,0,15,15,57,  
91,270032503,18,VILLA DE VALLECAS   ,1802,SANTA EUGENIA       ,11131597,1,614050,CALLE                   ,PUENTELARRA                                       ,NUM,8,28031,44841053,447052541,1,Puerta Calle,1,Abierto,20,C,PB,01,,,BAR  LA HACIENDA,1,Anual,1,Abierta,8316,5832,25/04/2014,11131597,1,614050,CALLE                   ,PUENTELARRA                                       ,NUM,8,  ,Acera,10:00:00 a. m.,01:00:00 a. m.,10:00:00 a. m.,12:00:00 a. m.,10:00:00 a. m.,02:30:00 a. m.,10:00:00 a. m.,12:00:00 a. m.,0,0,24,18,96,  
94,200001006,20,SAN BLAS-CANILLEJAS ,2008,EL SALVADOR         ,20109203,1,88909312,CALLE                   ,MIAMI                                             ,NUM,9,28027,44656057,447682345,1,Puerta Calle,1,Abierto,10,,PB,01,,,3B,1,Anual,1,Abierta,72,72,05/01/2022,20052839,1,88909488,CALLE                   ,ALCALA                                            ,NUM,493,  ,Acera,08:00:00 a. m.,12:00:00 a. m.,08:00:00 a. m.,12:00:00 a. m.,08:00:00 a. m.,12:00:00 a. m.,08:00:00 a. m.,12:00:00 a. m.,0,0,5,5,10,  
95,270184841,18,VILLA DE VALLECAS   ,1802,SANTA EUGENIA       ,11131611,1,614050,CALLE                   ,PUENTELARRA                                       ,NUM,7,28031,44843053,447041641,1,Puerta Calle,1,Abierto,50,,PB,12,,,CERVECERIA LA TORRE,2,Estacional,1,Abierta,27,5832,28/04/2014,31011646,1,614050,CALLE                   ,PUENTELARRA                                       ,NUM,7, A,Acera,10:00:00 a. m.,01:00:00 a. m.,08:00:00 a. m.,01:00:00 a. m.,10:00:00 a. m.,02:30:00 a. m.,08:00:00 a. m.,01:00:00 a. m.,0,0,10,18,40,  
98,270185092,18,VILLA DE VALLECAS   ,1802,SANTA EUGENIA       ,11131648,1,318050,CALLE                   ,FUENTESPINA                                       ,NUM,6,28031,44856953,447010141,1,Puerta Calle,1,Abierto,50,,PB,E,,,EL JARDIN DE BACO II,1,Anual,1,Abierta,4438,4438,28/04/2014,11131648,1,318050,CALLE                   ,FUENTESPINA                                       ,NUM,6,  ,Acera,10:00:00 a. m.,01:00:00 a. m.,10:00:00 a. m.,12:00:00 a. m.,10:00:00 a. m.,02:30:00 a. m.,10:00:00 a. m.,12:00:00 a. m.,0,0,17,17,68,  
101,170000673,17,VILLAVERDE          ,1701,SAN ANDRES          ,11124234,1,18100,PASEO                   ,ALBERTO PALACIOS                                  ,NUM,15,28021,43962054,446639952,1,Puerta Calle,1,Abierto,30,,PB,01,,,D`YISA NAILS,2,Estacional,1,Abierta,2592,2592,30/04/2014,11124234,1,18100,PASEO                   ,ALBERTO PALACIOS                                  ,NUM,15,  ,Calle peatonal,08:00:00 a. m.,01:30:00 a. m.,10:00:00 a. m.,12:00:00 a. m.,08:00:00 a. m.,01:30:00 a. m.,10:00:00 a. m.,12:00:00 a. m.,0,0,8,8,32,  
102,270456985,17,VILLAVERDE          ,1701,SAN ANDRES          ,11123229,1,18100,PASEO                   ,ALBERTO PALACIOS                                  ,NUM,83,28021,43906254,446607752,1,Puerta Calle,1,Abierto,10,,PB,B,,,LAS BEGONIAS,1,Anual,1,Abierta,9912,4575,30/04/2014,11123229,1,18100,PASEO                   ,ALBERTO PALACIOS                                  ,NUM,83,  ,Acera,08:00:00 a. m.,01:30:00 a. m.,08:00:00 a. m.,01:00:00 a. m.,08:00:00 a. m.,01:30:00 a. m.,08:00:00 a. m.,01:00:00 a. m.,0,0,25,12,84,  
103,170000832,17,VILLAVERDE          ,1705,LOS ANGELES         ,11128441,1,68200,CALLE                   ,ARECHAVALETA                                      ,NUM,50,28041,44087154,446712351,1,Puerta Calle,1,Abierto,10,,PB,B,,,BAR CASA CONEL,1,Anual,1,Abierta,3708,3708,30/04/2014,11128431,1,53750,CALLE                   ,ANOETA                                            ,NUM,21,  ,Acera,08:00:00 a. m.,01:30:00 a. m.,08:00:00 a. m.,01:00:00 a. m.,08:00:00 a. m.,01:30:00 a. m.,08:00:00 a. m.,01:00:00 a. m.,0,0,4,4,12,  
