prov_insc,cant_insc,parr_insc,anio_insc,mes_insc,mes_reg,dia_insc,fecha_insc,hijos_rec,mcap_bie,nac_1,cod_pais1,sexo_1,anio_nac1,mes_nac1,dia_nac1,fecha_nac1,edad_1,nmatant1,est_civi1,p_etnica1,niv_inst1,sabe_leer1,prov_hab1,cant_hab1,parr_hab1,area_1,nac_2,cod_pais2,sexo_2,anio_nac2,mes_nac2,dia_nac2,fecha_nac2,edad_2,nmatant2,est_civi2,p_etnica2,niv_inst2,sabe_leer2,prov_hab2,cant_hab2,parr_hab2,area_2
9,901,90110,2020,1,enero,13,1/13/2020,0,2,1,218,2,1988,3,21,3/21/1988,31,99,9,9,6,0,9,901,90110,1,9,999,2,9999,99,99, ,999,99,9,9,9,0,9,901,90110,1
9,901,90110,2020,3,marzo,3,03/03/2020,0,2,1,218,1,1971,5,23,5/23/1971,48,99,9,9,6,0,9,901,90110,1,9,999,2,9999,99,99, ,999,99,9,9,9,0,9,901,90110,1
9,901,90110,2020,2,febrero,20,2/20/2020,0,2,1,218,1,1965,3,27,3/27/1965,54,3,2,6,6,0,9,901,90110,1,9,999,2,9999,99,99, ,999,3,2,8,9,0,9,901,90110,1
9,911,91150,2020,9,septiembre,23,9/23/2020,3,2,1,218,1,1973,10,9,10/09/1973,46,3,2,6,6,0,9,911,91150,1,9,999,2,9999,99,99, ,999,3,2,6,9,0,9,911,91150,1
9,901,90110,2020,8,agosto,25,8/25/2020,99,9,1,218,1,1974,3,25,3/25/1974,46,1,2,9,6,0,9,901,90110,1,9,999,2,9999,99,99, ,999,2,2,9,9,0,9,901,90110,1
17,1701,170112,2020,10,octubre,28,10/28/2020,0,2,1,218,1,1963,5,8,05/08/1963,57,2,2,6,8,0,17,1701,170112,1,9,999,2,9999,99,99, ,999,1,9,7,9,0,17,1701,170112,1
9,901,90112,2020,12,diciembre,23,12/23/2020,0,9,1,218,1,1957,3,13,3/13/1957,63,2,2,6,6,0,9,901,90112,1,9,999,2,9999,99,99, ,999,1,2,6,9,0,9,901,90112,1
17,1701,170184,2020,12,diciembre,3,12/03/2020,1,2,1,218,1,1973,9,24,9/24/1973,47,1,2,6,8,0,17,1701,170184,2,1,218,2,9999,99,99, ,999,1,2,6,8,0,17,1701,170184,2
9,901,90110,2020,1,enero,2,01/02/2020,0,2,1,218,1,1984,3,27,3/27/1984,35,1,2,6,6,0,9,901,90110,1,9,999,2,9999,99,99, ,999,1,3,6,9,0,9,901,90110,1
9,901,90110,2020,1,enero,6,01/06/2020,0,9,1,218,2,1977,1,6,01/06/1977,43,1,2,6,6,0,9,901,90110,1,9,999,2,9999,99,99, ,999,1,3,6,9,0,9,901,90110,1
9,901,90110,2020,1,enero,31,1/31/2020,2,2,1,218,1,1977,1,11,01/11/1977,43,1,2,9,8,0,9,901,90110,1,9,999,2,9999,99,99, ,999,1,2,6,9,0,9,901,90110,1
9,909,90950,2020,2,febrero,14,2/14/2020,2,2,1,218,1,1987,6,9,06/09/1987,32,1,2,6,6,0,9,909,90950,1,1,218,2,9999,99,99, ,999,1,2,6,8,0,9,909,90950,1
9,909,90950,2020,2,febrero,27,2/27/2020,0,2,1,218,1,1953,12,19,12/19/1953,66,1,2,6,4,0,9,909,90950,1,9,999,2,9999,99,99, ,999,1,2,1,9,0,9,909,90950,1
17,1701,170112,2020,10,octubre,15,10/15/2020,1,2,1,218,1,1983,3,2,03/02/1983,37,1,2,6,6,0,17,1701,170112,1,9,999,2,9999,99,99, ,999,1,2,6,9,0,17,1701,170112,1
17,1701,170112,2020,11,noviembre,23,11/23/2020,0,2,1,218,1,1974,3,12,03/12/1974,46,1,2,6,6,0,17,1701,170112,1,9,999,2,9999,99,99, ,999,1,2,7,9,0,17,1701,170112,1
9,901,90110,2020,9,septiembre,28,9/28/2020,0,2,1,218,2,1982,8,28,8/28/1982,38,1,2,6,8,0,9,901,90110,1,9,999,2,9999,99,99, ,999,1,2,6,9,0,9,901,90110,1
9,901,90110,2020,9,septiembre,29,9/29/2020,1,2,1,218,1,1970,7,7,07/07/1970,50,1,2,6,8,0,9,901,90110,1,9,999,2,9999,99,99, ,999,1,2,6,9,0,9,901,90110,1
9,901,90110,2020,10,octubre,15,10/15/2020,0,2,1,218,1,1959,8,10,08/10/1959,61,1,3,2,6,0,9,901,90110,1,9,999,2,9999,99,99, ,999,1,2,2,9,0,9,901,90110,1
9,901,90110,2020,11,noviembre,25,11/25/2020,0,2,1,218,1,1945,8,27,8/27/1945,75,1,2,6,6,0,9,901,90110,1,9,999,2,9999,99,99, ,999,1,2,6,9,0,9,901,90110,1
9,901,90112,2020,1,enero,18,1/18/2020,0,1,1,218,1,1967,8,30,8/30/1967,52,1,2,6,6,0,9,901,90112,1,9,999,2,9999,99,99, ,999,1,2,6,9,0,9,901,90112,1
9,901,90112,2020,1,enero,10,01/10/2020,0,2,1,218,1,1954,6,7,06/07/1954,65,1,2,6,8,0,9,901,90112,1,9,999,2,9999,99,99, ,999,1,2,6,9,0,9,901,90112,1
9,901,90112,2020,11,noviembre,4,11/04/2020,0,2,1,218,1,1976,5,23,5/23/1976,44,1,2,6,8,0,9,901,90112,1,9,999,2,9999,99,99, ,999,1,2,6,9,0,9,901,90112,1
9,901,90112,2020,11,noviembre,9,11/09/2020,0,2,1,218,1,1973,4,15,4/15/1973,47,1,2,6,8,0,9,901,90112,1,9,999,2,9999,99,99, ,999,1,2,6,9,0,9,901,90112,1
