CODIGO_ELECTRICO;NOMBRE_BDU;EMPRESA_ELECTRICA;TIPO_EMPLAZAMIENTO;ZONA;TECNOLOGIA;SECTORES_2G;SECTORES_3G;SECTORES_4G;TARIFA_ELECTRICA;kWh_MENSUAL;PAGO_MENSUAL;VARIACION_kWh;VARIACION_PAGO;DEMANDA_kWh;TASA_BOMBEROS;TASA_BASURA;FACTOR _POTENCIA
1803003613;CHUQUIRIBAMBA;EERSSA;ESTACION;Sub-Urbana;2G3G;2;4;0;COMERCIAL CON DEMANDA BAJA TENSION;978;178,1;5,33;16,81;13;5,91;0;0,926
1501137132;BUCAY;EERIOBAMBA;ESTACION;Sub-Urbana;2G3G;3;6;0;COMERCIAL CON DEMANDA BAJA TENSION;1974,72;278,59;-2,15;-0,96;11;5,88;0;0,998
2000023356;SHUSHUFINDI;CNEL_SUCUMBIOS;ESTACION;Rural;2G3G4G;3;11;3;COMERCIAL CON DEMANDA HORARIA BAJA TENSION;4951;525,55;15;7,47;8,5;5,91;0;1
2000053531;MICRO_CAMPO_YUCA;CNEL_SUCUMBIOS;ESTACION;Rural;2G;1;0;0;COMERCIAL CON DEMANDA BAJA TENSION;766;131,53;-0,34;5,26;8;5,91;0;1
2000057862;REPETIDOR_LORETO;CNEL_SUCUMBIOS;ESTACION;Rural;REPETIDOR;0;0;0;COMERCIAL CON DEMANDA BAJA TENSION;485,5;102,13;-17,5;-8,27;8;5,91;0;1
2000062305;KUPI;CNEL_SUCUMBIOS;ESTACION;Rural;2G3G;3;3;0;COMERCIAL CON DEMANDA BAJA TENSION;1206;176,23;-6,16;-4,11;8;5,91;0;1
2000130750;TARACOA;CNEL_SUCUMBIOS;ESTACION;Rural;2G;3;0;0;COMERCIAL SIN DEMANDA BAJA TENSION;669,5;119,49;-9,49;-5,91;8;5,91;0;1
1803192101;LOJA_COCA_COLA;EERSSA;ESTACION;Urbana;3G4G;0;6;3;COMERCIAL SIN DEMANDA BAJA TENSION;977;117,97;-3,17;-2,81;7;5,955;0;0,942
2000023914;LUMBAQUI;CNEL_SUCUMBIOS;ESTACION;Rural;2G3G;3;3;0;COMERCIAL CON DEMANDA BAJA TENSION;3851;454,57;8,25;-1,02;6;5,91;41,82;1
1501312818;RIOBAMBA_CENTRO;EERIOBAMBA;ESTACION;Sub-Urbana;2G3G4G;3;12;3;COMERCIAL CON DEMANDA BAJA TENSION;2473,5;266,63;-5,99;-5,79;6;5,88;0;0,998
1900025167;MALECON_PUERTO_AYORA;ELECGALAPAGOS;ESTACION;Sub-Urbana;2G3G;6;6;0;COMERCIAL SIN DEMANDA BAJA TENSION;4314;484,07;-1,41;-0,18;6;5,91;0;0,998
1900012689;PUERTO_BAQUERIZO_MORENO;ELECGALAPAGOS;ESTACION;Rural;2G3G;6;3;0;COMERCIAL CON DEMANDA BAJA TENSION;4179;418,18;4;-8,99;6;5,91;0;1
1300441373;NO DEFINIDO;EMELNORTE;ESTACION;Urbana;SIN_INFORMACION;0;0;0;COMERCIAL SIN DEMANDA BAJA TENSION;1436,5;196,48;1,76;1,76;6;6;0;1
100468292;TENA_CENTRO;EEASA;ESTACION;Sub-Urbana;2G3G4G;3;6;3;COMERCIAL SIN DEMANDA BAJA TENSION;2660;317,27;-4,34;-1,55;5,64;5,955;0;0,998
2000042130;LORETO;CNEL_SUCUMBIOS;ESTACION;Rural;2G3G;2;4;0;COMERCIAL CON DEMANDA BAJA TENSION;2228;262,63;-0,08;19,88;5;5,91;0;1
